Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
polo-black,1605,1741,1m58.100516944s,0.6031,30,18,0.00344,6,4541,65.100516944
Jacket-blue,295,342,1m49.245614035s,0.55263,10,4,0.00584,2,1052,64.245614035
Trouser-white,53,60,1m10.3s,0.78333,1,0,0.0,0,97,61.3
Jacket-rust,261,288,1m49.118055555s,0.45138,4,1,0.0,0,987,64.118055555
Sweatshirt-red,168,174,1m28.632183908s,0.50574,4,0,0.0,0,508,62.632183908
Trouser-grey,109,119,2m24.218487394s,0.61344,1,0,0.0,0,298,122.218487394
Jacket-nayy,37,54,1m38.092592592s,0.68518,0,1,0.01851,1,118,63.092592592
Jacket-navy,479,541,1m46.384473197s,0.62107,7,8,0.00924,5,1375,64.384473197
t-shirt-black,20,21,31.19047619s,0.80952,0,0,0.0,0,48,1860.19047619
t-shirt-navy,4,5,46.5s,0.4375,0,0,0.0,0,10,2760.5
Jacket-navy,1100,1234,1m49.709076175s,0.56888,20,19,0.00405,5,3286,64.709076175
jeans-blue,409,527,1m46.332068311s,0.64705,13,12,0.00569,3,1361,64.332068311
Sweatshirt-olive,107,120,1m26.641666666s,0.61666,3,1,0.0,0,238,62.641666666
Trouser-black,541,570,53.184210526s,0.72807,18,3,0.0,0,1078,2940.6
jeans-blue,57,68,1m27.602941176s,0.69117,1,2,0.02941,2,164,62.602941176
Trouser-black,79,90,1m29.8s,0.66666,1,0,0.0,0,191,62.8
polo-white,4,5,44s,0.4375,0,0,0.0,0,10,60.294545454
t-shirt-maroon,748,945,1m18.753439153s,0.69523,12,26,0.00634,6,2149,61.753439153
t-shirt-white,117,142,2m21.014084507s,0.59859,7,14,0.02816,4,494,122.014084507
jeans-blue,155,214,1m29.467289719s,0.69626,9,3,0.00467,1,539,62.467289719
t-shirt-offwhite,21,22,22.136363636s,0.77272,0,0,0.0,0,36,1320.136363636
Trouser-grey,72,81,1m0.481481481s,0.7037,1,1,0.0,0,188,60.481481481
polo-white,1606,1729,2m41.692886061s,0.4375,50,26,0.01156,20,4541,124.692886061
t-shirt-navy,709,784,1m24.8125s,0.61734,24,11,0.0051,4,2046,62.8125
Sweatshirt-pink,1238,1336,44.053892215s,0.70359,11,5,0.00224,3,2526,2640.053892215
jeans-navy,57,63,2m38.46031746s,0.61904,3,0,0.0,0,244,123.46031746
Jacket-maroon,1332,1540,1m26.606493506s,0.63766,35,22,0.00649,10,3701,62.606493506
t-shirt-black,106,118,56.093220338s,0.62711,5,0,0.0,0,286,2940.6
t-shirt-green,1175,1308,1m14.519113149s,0.5451,40,26,0.00688,9,3848,61.519113149
polo-white,208,221,3m21.760180995s,0.4375,5,6,0.0,0,1128,182.760180995
polo-turq,208,250,1m35.472s,0.58399,2,5,0.004,1,654,63.472
polo-black,1471,1616,1m31.584777227s,0.62066,33,24,0.00556,9,4019,63.584777227
Trouser-yellow,96,115,1m39.12173913s,0.70434,1,1,0.0,0,258,63.12173913
t-shirt-blue,22,23,2m32.130434782s,0.65217,1,3,0.04761,3,102,123.130434782
Sweatshirt-black,6,8,3m33.625s,0.75,1,0,0.0,0,14,183.625
t-shirt-navy,27,32,2m35.25s,0.46875,1,3,0.0,0,103,123.25
jeans-navy,10,12,5.25s,0.75,0,0,0.0,0,15,300.25
t-shirt-teal,385,451,1m58.729490022s,0.5011,18,18,0.00443,2,1615,65.729490022
Sweatshirt-green,25,28,13.607142857s,0.84293,0,0,0.0,0,30,780.607142857
Trouser-purple,55,63,2m22.873015873s,0.4375,1,1,0.01587,1,216,122.873015873
t-shirt-white,33,43,28s,0.8372,0,0,0.0,0,95,60.294545454
Sweatshirt-green,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
polo-pink,729,764,2m18.886125654s,0.53926,23,9,0.00916,7,2547,121.886125654
polo-maroon,7,7,3m51.142857142s,0.71428,1,1,0.04761,1,33,185.142857142
Trouser-turq,10,13,4m45.692307692s,0.46153,1,0,0.0,0,66,244.692307692
t-shirt-turq,32,39,1m6.179487179s,0.61538,1,0,0.0,0,68,60.294545454
jeans-blue,38,42,1m49s,0.71428,1,0,0.0,0,119,109.0
jeans-black,20,20,2m7.3s,0.5,0,0,0.0,0,71,120.3
polo-white,21,22,1m11.454545454s,0.63636,0,0,0.0,0,64,61.454545454
t-shirt-mustard,6,9,13.222222222s,0.77777,0,0,0.0,0,14,780.222222222
Sweatshirt-maroon,18,21,2m5.142857142s,0.66666,1,0,0.0,0,81,120.142857142
t-shirt-brown,125,129,24.906976744s,0.8217,3,1,0.00775,1,218,1440.906976744
t-shirt-blue,246,261,41.977011494s,0.74712,5,0,0.0,0,441,2460.977011494
t-shirt-white,10,10,3m14.5s,0.4375,0,0,0.0,0,40,181.5
Trouser-navy,35,37,56.675675675s,0.7027,0,1,0.02702,1,80,2940.6
Sweatshirt-pink,52,63,2m20s,0.50793,2,0,0.0,0,180,140.0
polo-green,318,362,1m15.17679558s,0.68784,4,3,0.00276,1,726,61.17679558
polo-blue,1719,1871,1m42.218134715s,0.64196,50,19,0.00414,8,4541,64.218134715
polo-navy,231,267,1m44.101123595s,0.64794,8,3,0.00374,1,655,64.101123595
t-shirt-blue,156,181,3m14.701657458s,0.55248,7,7,0.02762,5,695,181.701657458
Sweatshirt-petrol,15,28,5m42.571428571s,0.64285,1,2,0.03571,1,112,304.571428571
Trouser-grey,1719,1871,37.266301088s,0.73961,50,26,0.00111,13,4541,2220.266301088
polo-pink,511,562,1m48.5s,0.66192,15,6,0.00533,3,1417,64.5
Sweatshirt-blue,208,229,1m1.602620087s,0.61135,4,3,0.0,0,571,60.602620087
t-shirt-purple,118,132,2m2.742424242s,0.45454,8,9,0.0,0,518,120.742424242
polo-white,1719,1871,32.047651208s,0.77089,50,26,0.00075,10,4541,1920.047651208
jeans-black,363,377,58.310344827s,0.66047,1,3,0.00265,1,749,2940.6
Trouser-white,94,99,2m23.161616161s,0.66666,1,2,0.0202,2,267,122.161616161
polo-olive,92,99,1m44.05050505s,0.61616,5,4,0.0101,1,246,64.05050505
t-shirt-pink,4,5,2.4s,0.6,0,0,0.0,0,10,120.4
Trouser-black,1065,1185,1m9.406751054s,0.63459,19,12,0.00421,5,2839,60.406751054
t-shirt-pink,9,10,12.6s,0.8,0,0,0.0,0,16,720.6
jeans-blue,114,118,1m1.864406779s,0.66949,0,1,0.0,0,233,60.864406779
t-shirt-petrol,303,328,1m25.844512195s,0.67682,9,6,0.00914,3,714,62.844512195
Jacket-rust,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-beige,1653,1811,1m11.602981778s,0.69353,33,22,0.00552,10,3783,61.602981778
polo-maroon,316,363,1m58.41322314s,0.51515,19,16,0.02203,8,1272,65.41322314
t-shirt-teal,276,301,29.750830564s,0.80398,8,1,0.0,0,441,1740.750830564
Trouser-black,47,59,3m6.898305084s,0.4375,1,4,0.01694,1,270,180.898305084
Sweatshirt-pink,497,512,34.390625s,0.71289,30,1,0.0,0,858,2040.390625
Sweatshirt-white,4,5,4.5s,0.5,0,0,0.0,0,10,240.5
Sweatshirt-navy,237,261,1m8.310344827s,0.72413,6,6,0.00766,2,558,60.310344827
polo-white,544,629,1m57.098569157s,0.6248,6,11,0.00635,4,1666,65.098569157
Sweatshirt-teal,33,35,36.685714285s,0.84293,0,1,0.02857,1,44,2160.685714285
Jacket-purple,26,31,31.129032258s,0.74193,0,0,0.0,0,69,1860.129032258
jeans-black,29,33,5m36.484848484s,0.45454,0,0,0.0,0,101,303.484848484
Trouser-purple,258,334,1m11.359281437s,0.77844,9,3,0.0,0,701,61.359281437
t-shirt-grey,588,620,1m10.466129032s,0.68064,5,4,0.00483,3,1321,61.466129032
Sweatshirt-grey,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Jacket-red,1719,1871,1m2.022857142s,0.63032,27,15,0.00175,4,4541,60.294545454
polo-petrol,49,58,7m41.379310344s,0.4375,3,2,0.0,0,348,424.379310344
Trouser-green,192,208,1m45.384615384s,0.65384,4,4,0.01923,4,685,64.384615384
t-shirt-green,1143,1198,33.686143572s,0.75125,27,4,0.00166,2,2046,1980.686143572
polo-white,388,413,1m29.905569007s,0.62469,7,2,0.00242,1,1031,62.905569007
polo-petrol,37,39,1m30.41025641s,0.53846,0,0,0.0,0,104,63.41025641
Jacket-navy,157,178,1m27.280898876s,0.52247,2,5,0.00561,1,557,62.280898876
Jacket-maroon,1719,1871,1m14.830685428s,0.55015,40,19,0.00272,6,4541,61.830685428
polo-blue,1719,1853,2m17.057204533s,0.50728,50,26,0.01349,25,4541,121.057204533
Jacket-lavender,335,366,1m57.740437158s,0.50546,11,4,0.00546,2,1166,65.740437158
Sweatshirt-black,242,251,1m35.804780876s,0.82868,5,0,0.0,0,418,63.804780876
t-shirt-white,1099,1192,1m54.526006711s,0.59479,33,26,0.00922,11,3378,65.526006711
jeans-blue,44,47,2m5.14893617s,0.53191,1,3,0.02127,1,140,120.14893617
t-shirt-prune,7,7,5m32.714285714s,0.4375,0,0,0.0,0,31,303.714285714
polo-1,5,6,35.833333333s,0.66666,0,0,0.0,0,10,2100.833333333
Jacket-blue,1719,1867,1m20.366363149s,0.58971,45,26,0.00535,10,4541,62.366363149
Trouser-rust,165,205,2m29.175609756s,0.59512,5,10,0.03414,7,818,122.175609756
Trouser-green,120,135,1m53.725925925s,0.57777,0,3,0.0,0,393,65.725925925
t-shirt-navy,804,893,1m9.772676371s,0.61142,32,15,0.00223,2,2007,60.772676371
Jacket-navy,323,385,1m48.927272727s,0.60519,11,11,0.01818,7,919,64.927272727
t-shirt-green,22,26,14.576923076s,0.84293,0,0,0.0,0,32,840.576923076
Jacket-black,1599,1867,1m42.690412426s,0.63577,32,26,0.00535,10,4342,64.690412426
jeans-purple,56,71,4m2.112676056s,0.54929,3,1,0.01408,1,320,240.112676056
t-shirt-teal,1719,1871,33.590527077s,0.75588,50,26,0.00055,10,4541,1980.590527077
Jacket-blue,136,146,1m59.164383561s,0.59589,5,6,0.01369,2,391,65.164383561
jeans-blue,57,65,1m26.276923076s,0.63076,2,2,0.0,0,221,62.276923076
t-shirt-blue,102,133,1m24.458646616s,0.66165,10,2,0.00751,1,357,62.458646616
Sweatshirt-purple,30,48,1m8.833333333s,0.66666,0,2,0.02083,1,103,60.833333333
t-shirt-yellow,242,256,3m13.34375s,0.46875,5,7,0.01171,3,1127,181.34375
t-shirt-pink,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-white,1719,1871,1m46.389893179s,0.4375,50,26,0.00246,6,4541,64.389893179
Jacket-beige,472,533,1m43.09380863s,0.69981,14,10,0.00938,5,1211,64.09380863
Sweatshirt-beige,23,23,1m8.260869565s,0.84293,0,0,0.0,0,33,60.294545454
Sweatshirt-white,4,5,4m18s,0.4375,0,1,0.04761,1,28,258.0
polo-yellow,291,352,2m5.411931818s,0.53125,12,9,0.0142,5,1292,120.411931818
t-shirt-peach,44,49,2m50.673469387s,0.48979,5,4,0.0204,1,213,125.673469387
polo-brown,10,15,32.4s,0.73333,0,0,0.0,0,36,1920.4
Trouser-yellow,45,48,1m8.1875s,0.72916,0,0,0.0,0,108,60.294545454
t-shirt-orange,4,5,14m50.5s,0.4375,0,0,0.0,0,26,845.5
t-shirt-white,1101,1170,2m18.795726495s,0.52735,29,25,0.00598,7,4195,121.795726495
Trouser-beige,80,92,2m44.608695652s,0.59782,2,4,0.02173,2,289,124.608695652
t-shirt-black,34,36,2m30.361111111s,0.72222,2,2,0.04761,2,129,123.361111111
Trouser-blue,199,233,3m3.927038626s,0.48497,9,3,0.00429,1,1010,180.927038626
Sweatshirt-blue,1719,1871,55.878566997s,0.71277,50,26,0.00263,17,4541,2940.6
t-shirt-blue,138,158,1m23.170886075s,0.56329,8,0,0.0,0,489,62.170886075
t-shirt-olive,7,8,19.375s,0.5,0,0,0.0,0,18,1140.375
Sweatshirt-blue,17,17,54.647058823s,0.82352,3,0,0.0,0,38,2940.6
Trouser-purple,709,1443,44.943866943s,0.84293,7,2,0.00069,1,2012,2640.943866943
jeans-blue,5,5,49.6s,0.6,0,1,0.0,0,10,2940.6
Jacket-olive,573,635,2m5.590551181s,0.537,19,11,0.01102,7,2023,120.590551181
Trouser-white,566,636,1m41.10062893s,0.62893,13,6,0.00471,3,1715,64.10062893
Sweatshirt-black,137,152,1m42.157894736s,0.63815,3,2,0.0,0,324,64.157894736
t-shirt-black,23,24,2m2.791666666s,0.70833,2,3,0.04166,1,84,120.791666666
t-shirt-pink,491,542,2m37.684501845s,0.59594,24,22,0.01291,7,1927,123.684501845
Trouser-green,422,460,1m40.447826086s,0.64565,5,5,0.00217,1,1146,64.447826086
t-shirt-olive,20,31,1m58.419354838s,0.67741,0,1,0.0,0,92,65.419354838
t-shirt-green,446,471,34.426751592s,0.76433,13,0,0.0,0,745,2040.426751592
t-shirt-green,64,74,1m14.621621621s,0.66216,2,1,0.0,0,163,61.621621621
Trouser-olive,139,149,1m58.812080536s,0.55033,1,0,0.0,0,526,65.812080536
jeans-navy,65,71,57.169014084s,0.57746,2,0,0.0,0,303,2940.6
t-shirt-black,16,19,2m0.526315789s,0.47368,2,1,0.0,0,103,120.526315789
Trouser-grey,86,94,1m43.393617021s,0.60638,1,0,0.0,0,263,64.393617021
polo-green,1110,1161,48.055986218s,0.69681,37,6,0.00258,3,2154,2880.055986218
t-shirt-pink,50,56,1m34.767857142s,0.76785,1,0,0.0,0,101,63.767857142
Trouser-beige,16,19,1m40.789473684s,0.57894,0,0,0.0,0,102,64.789473684
polo-yellow,33,36,23.444444444s,0.75,0,0,0.0,0,66,1380.444444444
polo-peach,326,353,2m21.688385269s,0.5779,17,9,0.01133,4,1329,122.688385269
t-shirt-purple,8,9,4m11.333333333s,0.44444,0,0,0.0,0,20,241.333333333
Trouser-navy,261,280,1m12.492857142s,0.67142,2,1,0.0,0,649,61.492857142
t-shirt-white,743,862,1m51.109048723s,0.57308,44,26,0.00928,8,2629,65.109048723
Sweatshirt-petrol,5,6,0s,0.84293,0,0,0.0,0,10,60.294545454
Trouser-turq,502,565,1m42.219469026s,0.58053,11,5,0.00176,1,1711,64.219469026
Trouser-petrol,1258,1321,1m27.074943224s,0.5791,41,13,0.00227,3,3936,62.074943224
t-shirt-pink,387,442,1m32.708144796s,0.64705,16,11,0.00904,4,1243,63.708144796
t-shirt-rust,12,13,31.076923076s,0.53846,0,0,0.0,0,29,1860.076923076
polo-navy,258,299,1m56.381270903s,0.59197,7,8,0.01003,3,1093,65.381270903
polo-green,33,38,1m46.815789473s,0.5,3,2,0.02631,1,173,64.815789473
polo-blue,37,37,2m22.324324324s,0.62162,2,1,0.02702,1,145,122.324324324
jeans-blue,102,142,1m41.669014084s,0.73943,1,2,0.01408,2,247,64.669014084
Trouser-navy,268,307,1m11.234527687s,0.58306,5,2,0.00325,1,887,61.234527687
jeans-navy,129,140,49.142857142s,0.65,3,2,0.00714,1,372,2940.142857142
polo-blue,137,155,1m51.4s,0.45806,9,6,0.0,0,661,65.4
t-shirt-white,24,32,3m29.625s,0.59375,1,0,0.0,0,125,182.625
t-shirt-black,488,504,52.736111111s,0.76388,7,2,0.00198,1,889,2940.6
Jacket-olive,28,33,2m40.696969696s,0.51515,0,0,0.0,0,104,124.696969696
jeans-blue,115,146,1m26.801369863s,0.63698,3,4,0.00684,1,353,62.801369863
Sweatshirt-navy,8,9,2m40.111111111s,0.55555,0,1,0.04761,1,37,124.111111111
polo-white,294,333,1m51.936936936s,0.62162,9,12,0.01501,5,948,65.936936936
jeans-blue,559,627,2m0.465709728s,0.63476,22,15,0.00797,5,1822,120.465709728
t-shirt-white,34,39,2m30.871794871s,0.51282,0,1,0.02564,1,138,123.871794871
Jacket-green,16,31,1m1.93548387s,0.70967,0,0,0.0,0,67,60.93548387
jeans-navy,166,185,1m45.67027027s,0.64864,5,3,0.0054,1,530,64.67027027
polo-black,308,342,2m43.435672514s,0.52339,22,16,0.02046,7,1624,124.435672514
polo-petrol,409,466,2m57.371244635s,0.4375,16,12,0.01072,5,1882,125.371244635
Trouser-black,303,321,1m31.582554517s,0.51713,7,6,0.00623,2,934,63.582554517
polo-brown,172,193,49.129533678s,0.68393,5,3,0.0,0,397,2940.129533678
t-shirt-black,734,750,29.852s,0.784,21,0,0.0,0,1100,1740.852
t-shirt-black,180,203,1m30.280788177s,0.70935,9,7,0.00985,2,502,63.280788177
Sweatshirt-white,38,50,1m7.54s,0.62,0,0,0.0,0,102,60.54
Jacket-mustard,91,92,2m18.010869565s,0.51086,2,2,0.01086,1,337,121.010869565
Trouser-navy,243,264,50.204545454s,0.75378,6,0,0.0,0,558,2940.6
jeans-navy,327,335,21.065671641s,0.80298,9,1,0.00298,1,474,1260.065671641
t-shirt-purple,25,28,1m45.5s,0.71428,0,2,0.0,0,102,64.5
t-shirt-white,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
jeans-navy,1719,1871,46.738197424s,0.74391,50,20,0.00286,6,3681,2760.738197424
Trouser-khaki,806,872,54.018348623s,0.74311,19,5,0.00458,4,1668,2940.6
Trouser-purple,1212,1245,48.164658634s,0.75261,32,3,0.0,0,1940,2880.164658634
Jacket-green,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Trouser-black,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-white,735,782,1m40.818414322s,0.59207,42,26,0.00639,5,2221,64.818414322
Jacket-beige,283,333,2m17.924924924s,0.57357,2,2,0.006,2,897,121.924924924
t-shirt-navy,21,25,1m53.04s,0.48,2,0,0.0,0,72,65.04
t-shirt-purple,44,46,55.54347826s,0.5,4,0,0.0,0,115,2940.6
t-shirt-white,5,5,8m30.8s,0.4375,0,0,0.0,0,13,483.8
t-shirt-pink,122,154,2m4.058441558s,0.55844,7,6,0.01948,3,507,120.058441558
Sweatshirt-peach,233,244,25.266393442s,0.76639,8,0,0.0,0,393,1500.266393442
Trouser-black,428,477,1m51.073375262s,0.67714,2,6,0.00628,3,1202,65.073375262
polo-pink,106,111,1m59.819819819s,0.45945,4,4,0.01801,2,408,65.819819819
t-shirt-lilac,7,9,8.222222222s,0.77777,0,0,0.0,0,12,480.222222222
polo-white,1719,1871,38.978713968s,0.7011,50,2,0.0,0,3888,2280.978713968
Trouser-navy,1719,1871,1m21.619219943s,0.62685,50,26,0.00522,13,4541,62.619219943
t-shirt-pink,490,540,58.39074074s,0.66481,6,4,0.0,0,1211,2940.6
Sweatshirt-pink,14,15,1m43.066666666s,0.53333,0,0,0.0,0,29,64.066666666
Jacket-1,31,39,1m14s,0.58974,1,0,0.0,0,71,74.0
polo-peach,59,72,2m1.402777777s,0.56944,2,1,0.01388,1,238,120.402777777
jeans-blue,533,629,2m1.254372019s,0.53736,26,18,0.00635,4,1994,120.254372019
Trouser-petrol,118,135,2m53.362962962s,0.57777,5,3,0.0,0,516,125.362962962
t-shirt-white,42,44,1m39.954545454s,0.75,0,0,0.0,0,94,63.954545454
t-shirt-white,1297,1337,49.22288706s,0.75093,50,3,0.0,0,2207,2940.22288706
t-shirt-purple,813,840,34.054761904s,0.74761,27,0,0.0,0,1368,2040.054761904
Trouser-petrol,330,362,53.038674033s,0.69889,4,4,0.00828,3,783,2940.6
jeans-blue,417,485,2m24.64742268s,0.58144,22,26,0.01649,8,1564,122.64742268
t-shirt-blue,118,129,1m45.581395348s,0.54263,6,1,0.0,0,432,64.581395348
t-shirt-maroon,46,50,1m47.6s,0.6,2,0,0.0,0,160,64.6
t-shirt-rust,309,335,1m5.146268656s,0.61791,5,6,0.00895,3,747,60.294545454
t-shirt-rust,23,31,3m56.193548387s,0.48387,3,1,0.03225,1,147,185.193548387
jeans-blue,200,228,1m56.850877192s,0.64035,6,6,0.02192,5,578,65.850877192
polo-blue,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Jacket-blue,1719,1871,1m40.563744504s,0.63253,50,26,0.00672,26,4541,64.563744504
Sweatshirt-petrol,999,1113,1m29.70619946s,0.56513,24,17,0.00359,4,2909,62.70619946
Trouser-black,193,202,1m4.470297029s,0.75742,1,0,0.0,0,367,60.470297029
polo-petrol,641,679,3m29.695139911s,0.4375,31,26,0.01325,9,4114,182.695139911
Jacket-navy,694,773,57.573091849s,0.73221,3,1,0.0,0,1376,2940.6
t-shirt-grey,1702,1827,52.649151614s,0.72742,44,20,0.00273,5,3402,2940.6
polo-olive,301,346,1m40.502890173s,0.58092,5,1,0.0,0,1115,64.502890173
Sweatshirt-black,15,17,2m6.529411764s,0.52941,1,0,0.0,0,45,120.529411764
Sweatshirt-black,1719,1871,1m26.094794998s,0.65135,50,26,0.00785,26,4541,62.094794998
Trouser-olive,58,72,2m59.319444444s,0.69444,2,5,0.01388,1,282,125.319444444
Jacket-green,14,16,1m18.1875s,0.8125,1,0,0.0,0,24,61.1875
Trouser-mustard,1719,1871,1m25.359527627s,0.61408,50,26,0.00554,26,4541,62.359527627
t-shirt-yellow,17,34,57.705882352s,0.84293,2,0,0.0,0,96,2940.6
Trouser-black,214,232,2m23.887931034s,0.56896,8,2,0.00431,1,731,122.887931034
polo-navy,254,285,2m10.694736842s,0.57192,7,3,0.0,0,983,121.694736842
polo-beige,268,283,43.098939929s,0.69964,3,2,0.00353,1,597,2580.098939929
t-shirt-navy,11,13,3m23.307692307s,0.6923,0,0,0.0,0,34,182.307692307
t-shirt-blue,327,336,2m26.967261904s,0.55357,12,7,0.00892,3,1048,122.967261904
t-shirt-grey,326,347,26.216138328s,0.84293,3,2,0.00288,1,583,1560.216138328
t-shirt-green,35,38,1m10.552631578s,0.71052,1,1,0.02631,1,89,61.552631578
Sweatshirt-sweatshirt,963,1048,56.314885496s,0.62022,24,11,0.0019,2,2268,2940.6
t-shirt-navy,27,36,1m20.555555555s,0.61111,0,1,0.0,0,73,62.555555555
t-shirt-purple,77,99,2m41.252525252s,0.65656,4,2,0.0101,1,400,124.252525252
t-shirt-yellow,13,14,8.428571428s,0.84293,0,0,0.0,0,18,480.428571428
t-shirt-blue,39,40,2.15s,0.84293,0,0,0.0,0,45,120.15
Trouser-blue,54,61,2m25.803278688s,0.55737,2,0,0.0,0,191,122.803278688
Trouser-blue,608,662,1m14.033232628s,0.58006,27,10,0.00151,1,1990,61.033232628
jeans-blue,150,171,2m10.385964912s,0.66081,3,4,0.00584,1,489,121.385964912
Trouser-white,840,897,1m2.843924191s,0.71237,21,7,0.00334,3,1976,60.843924191
t-shirt-olive,312,358,1m12.131284916s,0.71787,11,12,0.01396,5,899,61.131284916
t-shirt-navy,258,298,2m15.701342281s,0.63422,12,8,0.01677,5,1001,121.701342281
t-shirt-yellow,69,72,1m3.166666666s,0.55555,2,3,0.04166,3,206,60.294545454
Trouser-green,126,146,1m22.157534246s,0.64383,5,4,0.02054,3,368,62.157534246
polo-green,623,1267,32.61878453s,0.84293,6,0,0.0,0,1587,1920.61878453
Jacket-orange,130,143,1m48.636363636s,0.48251,3,0,0.0,0,539,64.636363636
Trouser-blue,8,16,2m19.0625s,0.5625,0,0,0.0,0,53,121.0625
t-shirt-purple,4,5,8m27.25s,0.5,1,1,0.04761,1,22,482.25
polo-pink,130,146,2m45.664383561s,0.56849,5,8,0.01369,2,511,124.664383561
Trouser-navy,138,165,1m30.909090909s,0.57575,4,3,0.00606,1,433,63.909090909
Trouser-red,1310,1451,1m31.681598897s,0.45761,50,26,0.01033,15,4541,63.681598897
Jacket-olive,676,721,1m38.173370319s,0.60055,7,4,0.00277,2,1921,63.173370319
polo-navy,16,18,2m40.944444444s,0.44444,2,3,0.04761,2,87,124.944444444
polo-mustard,5,11,5.727272727s,0.81818,0,0,0.0,0,13,300.727272727
Trouser-olive,1719,1871,1m43.918328584s,0.60113,50,26,0.00379,8,4541,64.918328584
Trouser-grey,955,1088,1m24.473345588s,0.66084,35,23,0.00919,10,2572,62.473345588
t-shirt-pink,397,410,30.995121951s,0.8,5,0,0.0,0,676,1800.995121951
jeans-navy,86,107,1m1.710280373s,0.72897,0,1,0.00934,1,216,60.710280373
t-shirt-coral,32,36,2m12.555555555s,0.44444,2,1,0.0,0,137,121.555555555
t-shirt-white,23,27,1m16.592592592s,0.62962,2,0,0.0,0,82,61.592592592
t-shirt-pink,35,39,1m17.333333333s,0.82051,1,0,0.0,0,70,61.333333333
Jacket-jacket,8,8,1.75s,0.84293,0,0,0.0,0,10,60.75
polo-orange,5,5,12m9.2s,0.4375,0,0,0.0,0,87,720.2
t-shirt-green,504,519,24.267822736s,0.78227,12,1,0.0,0,818,1440.267822736
polo-purple,68,87,2m28.609195402s,0.5977,4,2,0.0,0,279,122.609195402
Sweatshirt-green,12,15,2m49.2s,0.66666,0,1,0.0,0,35,124.2
Trouser-blue,277,309,2m14.974110032s,0.51779,12,9,0.0097,3,1089,121.974110032
Jacket-green,93,104,2m10.125s,0.46153,1,1,0.00961,1,324,121.125
polo-blue,10,13,33.846153846s,0.6923,1,1,0.0,0,28,1980.846153846
Sweatshirt-orange,18,20,1m16.05s,0.8,0,0,0.0,0,27,61.05
t-shirt-olive,249,273,2m11.087912087s,0.53479,14,7,0.00732,2,1088,121.087912087
Jacket-black,191,210,1m15.938095238s,0.57142,6,6,0.00476,1,542,61.938095238
Trouser-beige,20,48,2m22.5s,0.72916,0,0,0.0,0,91,122.5
t-shirt-peach,88,93,2m20.817204301s,0.51612,1,1,0.0,0,338,122.817204301
polo-purple,290,318,1m11.959119496s,0.60691,4,1,0.0,0,812,61.959119496
Trouser-maroon,34,38,52s,0.76315,0,0,0.0,0,68,60.294545454
t-shirt-black,4,5,3m34s,0.4375,0,0,0.0,0,10,214.0
Trouser-navy,215,252,1m38.936507936s,0.5238,8,4,0.00396,1,812,63.936507936
t-shirt-white,354,409,1m58.503667481s,0.60146,12,10,0.00733,3,1000,65.503667481
Trouser-beige,573,602,30.428571428s,0.7774,19,4,0.00332,2,962,1800.428571428
polo-turq,188,206,1m26.208737864s,0.59708,6,6,0.0,0,524,62.208737864
jeans-grey,286,314,1m28.824840764s,0.64331,6,1,0.00318,1,620,62.824840764
t-shirt-purple,1719,1871,37.849745103s,0.7239,50,5,0.0,0,4541,2220.849745103
polo-green,18,19,41s,0.78947,0,0,0.0,0,51,60.294545454
t-shirt-green,711,755,1m37.15231788s,0.57748,37,12,0.00662,5,2284,63.15231788
Trouser-green,553,655,1m26.2s,0.63816,12,6,0.00458,3,1584,62.2
t-shirt-lilac,4,5,9m4s,0.66666,0,0,0.0,0,10,544.0
t-shirt-navy,121,143,4m8.279720279s,0.53146,3,1,0.0,0,562,240.279720279
Jacket-pink,184,225,2m39.76s,0.48888,5,3,0.00888,2,778,123.76
polo-yellow,75,97,1m43.55670103s,0.68041,4,2,0.02061,2,231,64.55670103
Sweatshirt-white,55,67,2m15.119402985s,0.64179,3,1,0.01492,1,203,121.119402985
t-shirt-grey,156,171,1m28.98245614s,0.59064,7,6,0.00584,1,511,62.98245614
Jacket-white,159,201,1m16.87562189s,0.70149,0,7,0.00995,2,465,61.87562189
polo-olive,98,114,1m54.692982456s,0.58771,6,3,0.01754,2,348,65.692982456
Jacket-olive,18,18,2m42.888888888s,0.55555,1,0,0.0,0,42,124.888888888
Trouser-blue,99,105,2m19.495238095s,0.65714,1,2,0.01904,2,308,121.495238095
t-shirt-navy,84,99,2m9.585858585s,0.55555,4,3,0.0202,2,374,120.585858585
polo-teal,1250,1324,1m10.604984894s,0.58912,47,26,0.00981,13,3038,61.604984894
t-shirt-black,19,20,2m55.85s,0.65,0,0,0.0,0,35,125.85
polo-green,58,81,1m51.666666666s,0.45679,1,2,0.01234,1,255,65.666666666
t-shirt-white,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
