Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
polo-yellow,115,140,2m23.407142857s,0.56428,2,4,0.02142,3,497,122.407142857
Sweatshirt-blue,14,17,4m59.882352941s,0.52941,0,0,0.0,0,71,245.882352941
jeans-pant,51,64,3m2.796875s,0.64062,1,1,0.01562,1,129,180.796875
t-shirt-green,7,8,44.5s,0.75,0,1,0.0,0,17,2640.5
polo-white,212,229,1m26.013100436s,0.57641,11,4,0.00873,2,783,62.013100436
Trouser-white,101,110,1m57.263636363s,0.62727,3,2,0.00909,1,306,65.263636363
t-shirt-aqua,555,624,2m15.116987179s,0.45512,34,21,0.00961,6,2678,121.116987179
jeans-blue,54,55,3m17.272727272s,0.65454,0,0,0.0,0,155,181.272727272
t-shirt-blue,599,621,22.123993558s,0.81159,12,1,0.0,0,888,1320.123993558
polo-orange,12,13,6m1.923076923s,0.6923,0,1,0.0,0,64,360.923076923
t-shirt-white,7,7,45.714285714s,0.57142,0,0,0.0,0,15,2700.714285714
jeans-grey,26,31,48.774193548s,0.70967,1,0,0.0,0,69,2880.774193548
jeans-blue,73,76,1m20.315789473s,0.72368,1,0,0.0,0,210,62.315789473
t-shirt-beige,37,43,31.186046511s,0.74418,1,0,0.0,0,69,1860.186046511
Jacket-black,508,533,1m26.831144465s,0.66228,10,4,0.00562,3,1158,62.831144465
t-shirt-navy,133,147,1m20.265306122s,0.5102,4,2,0.0,0,471,62.265306122
Trouser-grey,70,80,2m21.2625s,0.63749,2,2,0.0,0,212,122.2625
t-shirt-mustard,212,237,1m27.974683544s,0.56962,10,4,0.00843,2,756,62.974683544
t-shirt-black,1719,1871,30.554236499s,0.75605,50,10,0.00046,2,4541,1800.554236499
t-shirt-pink,1535,1697,1m22.252209781s,0.51266,50,26,0.00648,11,4541,62.252209781
Jacket-offwhite,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Trouser-blue,202,234,2m18.388888888s,0.547,11,2,0.00427,1,782,121.388888888
Trouser-grey,1719,1871,1m18.535682558s,0.66804,50,26,0.00414,14,4541,61.535682558
polo-white,61,71,2m18s,0.52112,3,2,0.01408,1,313,138.0
polo-white,78,90,2m16.944444444s,0.56666,1,2,0.01111,1,299,121.944444444
Jacket-maroon,44,59,43.559322033s,0.8305,2,1,0.0,0,128,2580.559322033
t-shirt-yellow,22,32,2m54.28125s,0.6875,2,2,0.03125,1,119,125.28125
t-shirt-white,5,5,4m1.4s,0.4375,1,1,0.0,0,22,240.4
Trouser-black,513,529,1m13.482041587s,0.6862,12,0,0.0,0,1261,61.482041587
t-shirt-orange,4,5,7.666666666s,0.4375,0,0,0.0,0,10,420.666666666
t-shirt-blue,13,13,25.076923076s,0.53846,0,0,0.0,0,26,1500.076923076
Jacket-black,244,279,1m31.422939068s,0.68458,5,5,0.00358,1,656,63.422939068
polo-black,373,389,1m5.341902313s,0.63753,1,1,0.0,0,790,60.341902313
t-shirt-offwhite,25,28,1m5.928571428s,0.78571,0,0,0.0,0,71,60.928571428
jeans-white,4,5,13s,0.4375,0,0,0.0,0,10,60.294545454
t-shirt-black,723,747,49.593038821s,0.71887,33,5,0.00267,2,1411,2940.593038821
Jacket-black,1209,1394,1m19.623385939s,0.70803,16,15,0.00358,5,2866,61.623385939
Jacket-blue,20,27,3m31.37037037s,0.44444,1,1,0.03703,1,84,183.37037037
Sweatshirt-pink,59,62,1m21.241935483s,0.74193,2,1,0.01612,1,114,62.241935483
t-shirt-blue,147,159,1m8.320754716s,0.65408,4,7,0.01886,3,386,60.320754716
jeans-blue,39,48,3m6.291666666s,0.72916,0,0,0.0,0,104,180.291666666
jeans-blue,17,18,1m29.722222222s,0.61111,0,0,0.0,0,27,62.722222222
Sweatshirt-blue,359,378,50.933862433s,0.67724,7,3,0.00264,1,748,2940.6
Trouser-white,29,30,1m27.166666666s,0.56666,2,1,0.0,0,55,62.166666666
polo-black,897,1005,1m51.843781094s,0.55323,27,25,0.00597,6,3222,65.843781094
polo-lilac,23,30,333.333333ms,0.84293,0,0,0.0,0,31,2940.6
t-shirt-orange,93,103,2m15.184466019s,0.51456,5,4,0.02912,3,401,121.184466019
Trouser-slate,13,31,2m2.483870967s,0.77419,0,1,0.03225,1,77,120.483870967
Jacket-brown,281,327,1m42.113149847s,0.59021,4,6,0.00611,2,931,64.113149847
t-shirt-white,425,437,37.263157894s,0.67276,32,2,0.0,0,748,2220.263157894
Trouser-beige,84,109,4m27.467889908s,0.47706,1,1,0.00917,1,513,242.467889908
t-shirt-purple,4,5,1m31s,0.4375,0,0,0.0,0,10,91.0
Trouser-olive,138,158,1m36.075949367s,0.5443,5,8,0.01898,3,547,63.075949367
t-shirt-yellow,163,173,1m15.531791907s,0.63005,3,2,0.00578,1,370,61.531791907
t-shirt-black,6,6,2m50.5s,0.4375,0,0,0.0,0,36,125.5
polo-white,13,23,3m14.826086956s,0.65217,0,0,0.0,0,72,181.826086956
Trouser-trouser,464,520,2m6.386538461s,0.55576,18,13,0.01153,6,1627,120.386538461
polo-black,580,630,1m19.469841269s,0.62222,15,11,0.00476,3,1744,61.469841269
t-shirt-black,114,122,1m45.327868852s,0.61475,5,2,0.01639,2,363,64.327868852
Sweatshirt-white,837,914,1m5.909190371s,0.57439,11,10,0.00328,3,2224,60.909190371
Sweatshirt-white,148,171,1m16.789473684s,0.69005,4,0,0.0,0,370,61.789473684
Jacket-silver,39,44,1m50.772727272s,0.47727,0,0,0.0,0,159,65.772727272
t-shirt-peach,26,28,34.071428571s,0.71428,1,0,0.0,0,61,2040.071428571
jeans-blue,23,25,1m45.44s,0.64,1,0,0.0,0,53,64.44
Trouser-black,889,976,1m52.057377049s,0.59221,34,26,0.01536,15,2886,65.057377049
t-shirt-brown,32,35,1m57.342857142s,0.68571,1,0,0.0,0,114,65.342857142
Trouser-navy,147,156,1m10.358974358s,0.65384,3,3,0.00641,1,374,61.358974358
t-shirt-white,27,27,1m33.407407407s,0.7037,1,0,0.0,0,74,63.407407407
Jacket-beige,792,863,1m45.767091541s,0.61645,13,4,0.00347,3,2293,64.767091541
Sweatshirt-olive,169,197,1m34.40609137s,0.65989,7,1,0.0,0,389,63.40609137
polo-white,185,198,1m18.388888888s,0.65151,2,0,0.0,0,540,61.388888888
polo-grey,4,5,2.2s,0.8,0,0,0.0,0,10,120.2
jeans-blue,668,769,1m58.45513654s,0.62678,18,9,0.0065,5,2281,65.45513654
Jacket-navy,830,892,1m45.78251121s,0.6547,11,2,0.00112,1,2252,64.78251121
polo-peach,226,252,1m23.182539682s,0.51587,6,7,0.00793,2,757,62.182539682
t-shirt-black,89,100,44.05s,0.74,4,2,0.01,1,162,2640.05
t-shirt-pink,30,31,45.064516129s,0.64516,0,0,0.0,0,71,2700.064516129
Jacket-grey,10,13,4.769230769s,0.76923,0,0,0.0,0,20,240.769230769
t-shirt-black,990,1122,1m27.475935828s,0.61853,39,20,0.00356,4,2508,62.475935828
